id,est,nord,lat,lon,codicechiave,id_tipologia,tipologia,id_categoria,categoria_prevalente,denominazione,indirizzo,localita,comune,provincia,numero_sedi
"6092","1689044","4798360","43.314200  ","11.330824  ","052032PV002","1","Museo","4","Storia e scienze naturali","MUSEO DI STORIA NATURALE DELL'ACCADEMIA DEI FISIOCRITICI","Piazzetta Silvio Gigli (Prato di Sant'Agostino) 2","","Siena","SI","1"
"6111","1665523","4853504","43.815928  ","11.057800  ","100004NW001","1","Museo","1","Arte","MUSEO ARDENGO SOFFICI","Via Lorenzo il Magnifico 9","","Poggio a Caiano","PO","1"
"5734","1593732","4868028","","","046013PV001","1","Museo","8","Specializzato","MUSEO DELLA SATIRA E DELLA CARICATURA","Piazza Giuseppe Garibaldi 1","","Forte dei Marmi","LU","1"
"5735","1600609","4860970","43.894811  ","10.252312  ","046033NW002","1","Museo","8","Specializzato","MUSEO DEL CARNEVALE","Via Santa Maria Goretti ","","Viareggio","LU","1"
"5736","1612940","4885044","44.109712  ","10.410921  ","046009EP001","1","Museo","2","Archeologia","MUSEO ARCHEOLOGICO DEL TERRITORIO DELLA GARFAGNANA","Piazzetta Ariosto ","","Castelnuovo di Garfagnana","LU","1"
"5738","1599257","4860280","","","046033EP001","1","Museo","2","Archeologia","MUSEI CIVICI DI VILLA PAOLINA - MUSEO ARCHEOLOGICO ALBERTO CARLO BLANC, MUSEO DEGLI STRUMENTI MUSICALI GIOVANNI CIUFFREDA E ATELIER ALFREDO CATARSINI","Via Machiavelli 2","","Viareggio","LU","1"
"5739","1613381","4868965","","","046022PV001","1","Museo","6","Etnografia e antropologia","MUSEO DEL CASTAGNO","Via Fratta 4","Val di Roggio - Colognora","Pescaglia","LU","1"
"5740","1681449","4849407","43.775340  ","11.254294  ","048017EC002","3","Monumento o complesso monumentale","1","Arte","BASILICA DI SAN LORENZO","Piazza San Lorenzo ","","Firenze","FI","1"
"5742","1681506","4848060","43.763204  ","11.254549  ","048017XX5292","1","Museo","1","Arte","VILLA BARDINI - MUSEO PIETRO ANNIGONI E MUSEO ROBERTO CAPUCCI","Via Costa a San Giorgio 2","","Firenze","FI","1"
"5752","1665637","4800801","43.341675  ","11.043114  ","052004EC001","1","Museo","1","Arte","MUSEO CIVICO, ARCHEOLOGICO E DELLA COLLEGIATA","Piazza della Libertà 5","","Casole d'Elsa","SI","1"
"5754","1623643","4870566","43.977682  ","10.541244  ","046004XX4397","1","Museo","3","Storia","MUSEO DELLA MEMORIA E MUSEO ARCHEOLOGICO DI BORGO A MOZZANO","Piazza Marconi 1","","Borgo a Mozzano","LU","1"
"5757","1697933","4867404","43.933002  ","11.465599  ","048049NW001","3","Monumento o complesso monumentale","1","Arte","ORATORIO DI SAN FILIPPO NERI - CAPPELLA DELLA MISERICORDIA DI VICCHIO","Corso del Popolo 29","","Vicchio","FI","1"
"5758","1649341","4837969","43.679580  ","10.852389  ","050032EP002","3","Monumento o complesso monumentale","1","Arte","ORATORIO DEL LORETINO","Via vittime del Duomo 11","","San Miniato","PI","1"
"5759","1649747","4837987","","","050032EP001","3","Monumento o complesso monumentale","1","Arte","ROCCA DI FEDERICO II","Collina Sommitale ","","San Miniato","PI","1"
"5763","1740267","4766920","43.016862  ","11.948083  ","052011EP001","1","Museo","2","Archeologia","MUSEO CIVICO LA CITTA' SOTTERRANEA","Via Il Ciminia 2-8","","Chiusi","SI","2"
"5768","1734023","4763724","42.990068  ","11.870219  ","052031EP001","1","Museo","2","Archeologia","MUSEO CIVICO ARCHEOLOGICO DI SARTEANO","Via Roma 24","","Sarteano","SI","2"
"5769","1740849","4836704","43.644197  ","11.985823  ","051007EP001","1","Museo","1","Arte","MUSEO MICHELANGIOLESCO","Via Capoluogo 1","","Caprese Michelangelo","AR","2"
"5770","1660031","4885319","","","047018EP001","4","Ecomusei","8","Specializzato","ECOMUSEO DELLA MONTAGNA PISTOIESE. POLO DIDATTICO DELLA PIETRA E VIA FANCESCA DELLA SAMBUCA","Piazza della Chiesa. 1","Pàvana","Sambuca Pistoiese","PT","1"
"5771","1668450","4860789","43.880815  ","11.096464  ","100005EP004","1","Museo","1","Arte","MUSEO DI PALAZZO PRETORIO (EX MUSEO CIVICO DI PRATO)","Piazza Del Comune 1","","Prato","PO","1"
"5772","1680111","4806553","43.390106  ","11.223439  ","052016NW002","1","Museo","3","Storia","MONTERIGGIONI IN ARME","Piazza Roma 23","","Monteriggioni","SI","1"
"5773","1677261","4847499","","","048041NW002","3","Monumento o complesso monumentale","1","Arte","PARCO MUSEO DI POGGIO VALICAIA","Via Poggiona 6/a","","Scandicci","FI","1"
"5774","1656971","4842639","43.720025  ","10.948356  ","048014EP001","1","Museo","3","Storia","MUSEO CASA DI FERRUCCIO BUSONI","Piazza della Vittoria 16","","Empoli","FI","1"
"5775","1678989","4844746","43.733999  ","11.222196  ","048017EC001","3","Monumento o complesso monumentale","1","Arte","PINACOTECA DELLA CERTOSA DI FIRENZE","Certosa Via della Certosa 1","Galluzzo","Firenze","FI","1"
"5779","1665205","4814821","43.467930  ","11.042029  ","052028NW002","1","Museo","8","Specializzato","MUSEO DELLA VERNACCIA DI SAN GIMIGNANO","Via della Rocca, 1 ","","San Gimignano","SI","1"
"5780","1682030","4851952","43.798091  ","11.262369  ","048017XX4124","3","Monumento o complesso monumentale","1","Arte","COLLEZIONE ACTON - VILLA LA PIETRA","Via Bolognese 120","","Firenze","FI","1"
"5781","1653420","4736297","","","053006EP001","1","Museo","2","Archeologia","MUSEO CIVICO ARCHEOLOGICO 'ISIDORO FALCHI'","Piazza Vetluna 1","Vetulonia","Castiglione della Pescaia","GR","1"
"5782","1658955","4829921","43.605167  ","10.969218  ","048010EP001","1","Museo","1","Arte","BE-GO, MUSEO DI BENOZZO GOZZOLI","Via Testaferrata 31","","Castelfiorentino","FI","1"
"5783","1655449","4851071","43.796223  ","10.931912  ","048050XX5749","1","Museo","3","Storia","CASA NATALE DI LEONARDO DA VINCI AD ANCHIANO","Via di Anchiano  ","Anchiano","Vinci","FI","1"
"5784","1655077","4850002","43.786684  ","10.926975  ","048050EP002","1","Museo","5","Scienza e tecnica","MUSEO LEONARDIANO","Piazza dei Guidi ","","Vinci","FI","1"
"5786","1588289","4880813","44.075009  ","10.102258  ","045003NW001","1","Museo","77","Arte contemporanea","CENTRO ARTI PLASTICHE  (CAP)","Via Canal del Rio ","","Carrara","MS","1"
"6090","1624233","4753413","42.923100  ","10.521923  ","049012MA002","1","Museo","2","Archeologia","MUSEO ARCHEOLOGICO DEL TERRITORIO DI POPULONIA","Piazza Cittadella 8","","Piombino","LI","1"
"5790","1631600","4768722","","","049002EP002","1","Museo","2","Archeologia","MUSEO DELLA ROCCA DI CAMPIGLIA","Via 25 Luglio ","","Campiglia Marittima","LI","1"
"5791","1688447","4802105","43.348043  ","11.324754  ","052032US002","1","Museo","5","Scienza e tecnica","SIMUS - CUTVAP CENTRO SERVIZI DI ATENEO TUTELA E VALORIZZAZIONE ANTICO PATRIMONIO SCIENTIFICO SENESE ","Via Aldo Moro 6","","Siena","SI","1"
"5792","1639042","4823277","43.549349  ","10.720905  ","050025NW001","1","Museo","2","Archeologia","MUSEO ARCHEOLOGICO DI PECCIOLI","Piazza del Carmine 33","","Peccioli","PI","1"
"5793","1673178","4736414","42.760587  ","11.116071  ","053011EP001","1","Museo","4","Storia e scienze naturali","MUSEO DI STORIA NATURALE DELLA MAREMMA","Strada Corsini 5","","Grosseto","GR","1"
"6060","1668625","4849768","43.781612  ","11.095179  ","048044PV001","1","Museo","6","Etnografia e antropologia","MUSEO DELLA PAGLIA E DELL'INTRECCIO 'DOMENICO MICHELACCI'","Via degli Alberti 11","","Signa","FI","1"
"5795","1639046","4823103","43.547786  ","10.720906  ","050025EP001","1","Museo","1","Arte","MUSEO DELLE ICONE RUSSE F.BIGAZZI","Piazza del Popolo 5","","Peccioli","PI","1"
"5796","1639047","4823095","43.547709  ","10.720926  ","050025XX004","1","Museo","1","Arte","MUSEO DI ARTE SACRA DI PECCIOLI","Piazza Fra Domenico ","","Peccioli","PI","1"
"5797","1639020","4823055","43.547356  ","10.720578  ","050025NW002","1","Museo","77","Arte contemporanea","MUSEO DI INCISIONI E LITOGRAFIE - DONAZIONE VITO MERLINI","Via Lambercione 5","","Peccioli","PI","1"
"5799","1689189","4798910","43.319111  ","11.332798  ","052032XX3804","1","Museo","3","Storia","SIMUS - ARCHIVIO E PERCORSO STORICO","Via Banchi di Sotto 55","","Siena","SI","1"
"5801","1667422","4863988","43.909836  ","11.084685  ","100005EP003","1","Museo","4","Storia e scienze naturali","CENTRO DI SCIENZE NATURALI DI GALCETI","Via Galceti 74","Galceti","Prato","PO","1"
"5804","1733165","4816716","43.466893  ","11.882096  ","051002NW001","1","Museo","5","Scienza e tecnica","MUSEO DEI MEZZI DI COMUNICAZIONE","Via Ricasoli 22","","Arezzo","AR","1"
"5805","1688393","4798348","43.314250  ","11.322805  ","052032US004","1","Museo","4","Storia e scienze naturali","SIMUS - MUSEO NAZIONALE DELL'ANTARTIDE FELICE IPPOLITO","Via del Laterino 8","","Siena","SI","1"
"5806","1688393","4798348","43.314250  ","11.322805  ","052032XX020","1","Museo","4","Storia e scienze naturali","SIMUS - MUSEO DI SCIENZE DELLA TERRA","Via del Laterino 8","","Siena","SI","1"
"5810","1681113","4849168","43.773273  ","11.250039  ","048017EP009","3","Monumento o complesso monumentale","1","Arte","MUSEO DI SANTA MARIA NOVELLA","Piazza Santa Maria Novella ","","Firenze","FI","1"
"5814","1612555","4841550","43.718293  ","10.396926  ","050026US001","1","Museo","2","Archeologia","COLLEZIONI PALETNOLOGICHE E PALEONTOLOGICHE DELL'UNIVERSITA' DEGLI STUDI DI PISA","Via Santa Maria 53","","Pisa","PI","1"
"5815","1681085","4849007","43.771830  ","11.249646  ","048017EP008","1","Museo","1","Arte","MUSEO MARINO MARINI DI FIRENZE","Piazza San Pancrazio snc","","Firenze","FI","1"
"5817","1681727","4849455","43.775698  ","11.257768  ","048017XX3824","1","Museo","8","Specializzato","GALLERIA DELL'ACCADEMIA - DIPARTIMENTO DEGLI STRUMENTI MUSICALI: COLLEZIONE DEL CONSERVATORIO LUIGI CHERUBINI","Via Ricasoli 58-60","","Firenze","FI","1"
"5818","1681727","4849455","43.775698  ","11.257768  ","048017ST010","1","Museo","1","Arte","GALLERIA DELL'ACCADEMIA","Via Ricasoli 58-60","","Firenze","FI","1"
"5819","1622419","4842373","43.724135  ","10.519531  ","050003ST001","3","Monumento o complesso monumentale","1","Arte","MUSEO STORICO ARTISTICO DELLA CERTOSA MONUMENTALE DI CALCI","Via Roma 79","","Calci","PI","1"
"6095","1718651","4723567","42.633416  ","11.666304  ","053019NW001","1","Museo","3","Storia","MUSEO DI CULTURA EBRAICA LA PICCOLA GERUSALEMME","Vicolo Marghera ","","Pitigliano","GR","1"
"5821","1682215","4848816","43.769837  ","11.263603  ","048017PV005","1","Museo","1","Arte","CASA BUONARROTI","Via Ghibellina 70","","Firenze","FI","1"
"5822","1653882","4866317","43.933741  ","10.916829  ","047014PV001","1","Museo","1","Arte","ANTICO PALAZZO DEI VESCOVI E MUSEO DELLA CATTEDRALE DI SAN ZENO","Piazza del Duomo 4","","Pistoia","PT","1"
"5823","1681515","4849126","43.772792  ","11.255018  ","048017PV011","1","Museo","1","Arte","MUSEO DEL BIGALLO","Piazza San Giovanni 1","","Firenze","FI","1"
"5826","1649234","4837969","43.679600  ","10.851067  ","050032EC002","1","Museo","1","Arte","MUSEO DIOCESANO D'ARTE SACRA DI SAN MINIATO","Piazza del Duomo 1","","San Miniato","PI","1"
"5829","1702739","4770252","43.057775  ","11.489246  ","052014EP002","1","Museo","1","Arte","MUSEO CIVICO E DIOCESANO. RACCOLTA ARCHEOLOGICA DI MONTALCINO","Via Ricasoli 31","","Montalcino","SI","1"
"5830","1681594","4700594","42.436305  ","11.207443  ","053018EP002","1","Museo","2","Archeologia","MOSTRA PERMANENTE FRONTONE DI TALAMONE","Via Mura di Levante 7","","Orbetello","GR","1"
"5831","1675061","4713613","42.554972  ","11.132049  ","053018EP001","1","Museo","8","Specializzato","MUSEO DELLA PESCA E DELLE TRADIZIONI LAGUNARI","Via Nizza 24","Talamone","Orbetello","GR","1"
