ENTE,NOMESITO,NOMEINCODICE,INDIRIZZOIMPIANTO,CAPIMPIANTO,LOCALITAIMPIANTO,PROVINCIAIMPIANTO,lat,lon
Comune,Parco di Galceti HS1,HS1,Galceti,59100,Prato,PO,43.9089499,11.0873436
Comune,Parco di Galceti HS2,HS2,*,*,*,*,43.9084667,11.0862629
Comune,Piazza Mercatale HS1,HS1,*,*,*,*,43.8812481,11.1008141
Comune,Piazza Mercatale HS2,HS2,*,*,*,*,43.8801742,11.1018069
Comune,Piazza Mercatale HS3,HS3,*,*,*,*,43.8795015,11.1026995
Comune,Piazza San Domenico,*,*,*,*,*,43.8817116,11.0942875
Comune,Piazza del Duomo,*,*,*,*,*,43.8822432,11.0973993
Comune,Cascine di Tavola,*,*,*,*,*,43.8439418,11.0603118
Comune,Cascine di Tavola Parcheggio,*,*,*,*,*,43.8461176,11.0619422
Comune,Piazza delle Carceri,*,*,*,*,*,43.8784412,11.098942
Comune,Officina Giovani,*,*,*,*,*,43.8771201,11.0898656
Comune,Rete Civica,*,*,*,*,*,43.8798162,11.0931736
Comune,Biblioteca Corridoni,*,*,*,*,*,43.893056,11.090522
Comune,Teatro Magnolfi,*,*,*,*,*,43.883097,11.1052381
Comune,Teatro Metastasio,*,*,*,*,*,43.8797437,11.099377
Comune,Biblioteca Lazzerini,*,*,*,*,*,43.8768346,11.0985898
Comune,Museo Palazzo Pretorio,*,*,*,*,*,43.8805715,11.096517
Comune,Palazzo Comunale,*,*,*,*,*,43.8808556,11.0967299
Comune,Ospedale S. Stefano,*,*,*,*,*,43.8906758,11.0643358
