ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,lat,lon,Location
10837934,JA140073,02-03-2017 09:25,080XX S MUSKEGON AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,FALSE,FALSE,422,4,7,46,04A,1196565,1852206,2017,02/14/2017 03:49:42 PM,41.74932776,-87.55527466,"(41.74932776, -87.555274664)"
10837936,JA140197,02-01-2017 22:00,119XX S LOWE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,FALSE,FALSE,524,5,34,53,7,1174128,1825714,2017,02/14/2017 03:49:42 PM,41.67715727,-87.63827573,"(41.67715727, -87.638275726)"
10837937,JA140265,02-03-2017 12:13,072XX S FRANCISCO AVE,820,THEFT,$500 AND UNDER,RESIDENCE PORCH/HALLWAY,TRUE,FALSE,831,8,18,66,6,1158291,1856555,2017,02/14/2017 03:49:42 PM,41.76212625,-87.69540774,"(41.762126249, -87.69540774)"
10837940,JA140256,02-03-2017 12:15,117XX S PERRY AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,522,5,34,53,08A,1177688,1827087,2017,02/14/2017 03:49:42 PM,41.68084545,-87.62520382,"(41.680845447, -87.625203819)"
10837942,JA140110,02-02-2017 13:00,008XX E 87TH ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,632,6,8,44,6,1172446,1847094,2017,02/14/2017 03:49:42 PM,41.73586427,-87.64380572,"(41.735864267, -87.643805722)"
10837943,JA140183,02-03-2017 01:30,001XX W 113TH PL,910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENCE,FALSE,FALSE,522,5,34,49,7,1177357,1829693,2017,02/14/2017 03:49:42 PM,41.68800416,-87.62633716,"(41.688004161, -87.626337158)"
10837946,JA140255,02-03-2017 12:30,071XX W DICKENS AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,TRUE,2512,25,36,25,08B,1127951,1913162,2017,02/14/2017 03:49:42 PM,41.91802901,-87.80533478,"(41.918029012, -87.80533478)"
10837947,JA140235,02-03-2017 12:30,005XX N SPRINGFIELD AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,FALSE,FALSE,1122,11,27,23,14,1150294,1903297,2017,02/14/2017 03:49:42 PM,41.89055166,-87.72350206,"(41.890551663, -87.723502064)"
10837948,JA140193,02-01-2017 14:50,081XX S SOUTH CHICAGO AVE,261,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN,"SCHOOL, PUBLIC, GROUNDS",FALSE,TRUE,414,4,8,45,2,1190162,1851155,2017,02/14/2017 03:49:42 PM,41.74660021,-87.57877115,"(41.746600212, -87.578771154)"
10837949,JA140077,02-03-2017 10:10,064XX S MARSHFIELD AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,ALLEY,TRUE,TRUE,725,7,15,67,04A,1166433,1861947,2017,02/14/2017 03:49:42 PM,41.77675304,-87.6654127,"(41.776753041, -87.665412695)"
10837950,JA139930,02-03-2017 06:52,031XX W ARTHINGTON ST,560,ASSAULT,SIMPLE,RESIDENCE-GARAGE,FALSE,FALSE,1134,11,24,27,08A,1155528,1895867,2017,02/14/2017 03:49:42 PM,41.87005932,-87.70448014,"(41.870059315, -87.704480144)"
10837951,JA140289,02-03-2017 13:00,069XX S CARPENTER ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,FALSE,TRUE,733,7,17,68,08B,1170510,1858842,2017,02/14/2017 03:49:42 PM,41.76814468,-87.65055695,"(41.768144675, -87.650556947)"
10837953,JA140242,02-03-2017 11:40,016XX W JONQUIL TER,820,THEFT,$500 AND UNDER,OTHER,FALSE,FALSE,2422,24,49,1,6,1164218,1950996,2017,02/14/2017 03:49:42 PM,42.02115699,-87.67101258,"(42.021156986, -87.671012579)"
10837954,JA140286,02-03-2017 12:50,005XX W ENGLEWOOD AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,FALSE,TRUE,711,7,20,68,26,1173781,1863475,2017,02/14/2017 03:49:42 PM,41.78078628,-87.63843001,"(41.780786277, -87.63843001)"
10837955,JA140234,02-03-2017 12:30,038XX W LEXINGTON ST,560,ASSAULT,SIMPLE,APARTMENT,FALSE,FALSE,1133,11,24,26,08A,1150920,1896423,2017,02/14/2017 03:49:42 PM,41.87167643,-87.72138308,"(41.87167643, -87.721383082)"
10837956,JA140306,02-03-2017 12:30,067XX S RIDGELAND AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,RESIDENCE,FALSE,FALSE,332,3,5,43,11,1189025,1860686,2017,02/14/2017 03:49:42 PM,41.7727814,-87.58263257,"(41.772781396, -87.582632568)"
10837957,JA140212,02-03-2017 00:15,008XX N HAMLIN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,1112,11,27,23,7,1150902,1905320,2017,02/14/2017 03:49:42 PM,41.8960911,-87.72121618,"(41.896091104, -87.721216177)"
10837958,JA140307,02-02-2017 14:30,057XX S MAY ST,820,THEFT,$500 AND UNDER,APARTMENT,FALSE,FALSE,712,7,16,68,6,1169629,1866831,2017,02/14/2017 03:49:42 PM,41.7900866,-87.65355473,"(41.790086602, -87.653554734)"
10837959,JA140267,02-03-2017 11:30,081XX S RACINE AVE,320,ROBBERY,STRONGARM - NO WEAPON,GAS STATION,FALSE,FALSE,613,6,21,71,3,1169735,1850913,2017,02/14/2017 03:49:42 PM,41.74640331,-87.65362731,"(41.746403307, -87.653627313)"
10837960,JA140287,02-02-2017 15:00,023XX W GARFIELD BLVD,910,MOTOR VEHICLE THEFT,AUTOMOBILE,PARKING LOT/GARAGE(NON.RESID.),FALSE,FALSE,932,9,16,63,7,1161962,1868138,2017,02/14/2017 03:49:42 PM,41.79383609,-87.68163125,"(41.793836094, -87.681631247)"
